,class,f1_score,Cluster_F1_Score,Cluster
14,Light Bulbs LiFX Smart Bulb,99.83655077969695,99.79027540151219,4
15,Netatmo weather station,99.27182707828857,99.42737145166083,4
19,Smart Things,99.23920919159549,99.66301600673975,4
2,Samsung SmartCam,97.74455264433817,97.5489726995085,3
3,Amazon Echo,96.68425698571494,94.90475088520076,0
5,Belkin wemo motion sensor,95.94255573828421,96.68894699935157,2
0,Laptop,94.08449097764243,92.27665036924851,0
1,Insteon Camera,93.8228066688689,92.79354886852713,0
20,iHome,93.60273210946357,91.61994011527483,0
22,Withings Smart scale,91.89189189189173,79.6545640263724,5
8,Withings Aura smart sleep sensor,91.36605071030002,88.03270852347583,0
6,Netatmo Welcome,89.52810439405708,92.23212017200456,5
11,Belkin Wemo switch,88.91910362237367,89.0788698982421,2
4,Samsung Galaxy Tab,85.85647765606758,74.22657757979907,3
21,Triby Speaker,80.61264673312523,71.2702940103382,3
16,NEST Protect smoke alarm,76.42098350821173,89.05109489051092,1
9,Withings Smart Baby Monitor,75.36449255127013,79.37955639652654,1
10,MacBook,66.56574312827829,-1.0,-1
7,HP Printer,64.35521033868903,-1.0,-1
18,PIX-STAR Photo-frame,57.63379470587561,-1.0,-1
12,Android Phone,50.34774706253088,-1.0,-1
17,TP-Link Smart plug,46.94251190040305,-1.0,-1
13,TP-Link Day Night Cloud camera,46.50725697606184,-1.0,-1
23,Dropcam,19.178082191841053,-1.0,-1
25,Blipcare Blood Pressure meter,1.0,-1.0,-1
24,IPhone,0.0,-1.0,-1
